timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782574661344,112,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-64,text,false,,1078,190,100,100,https://api.clickup.com/api/v2/user,112,0,43
1782574661348,109,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-28,text,false,,1078,190,100,100,https://api.clickup.com/api/v2/user,109,0,42
1782574661348,109,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-44,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,109,0,44
1782574661285,172,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-92,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,172,0,43
1782574661340,117,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-67,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,117,0,44
1782574661352,109,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-48,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,109,0,44
1782574661346,115,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-68,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,115,0,44
1782574661355,107,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-45,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,107,0,43
1782574661345,117,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-72,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,117,0,43
1782574661338,124,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-54,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,124,0,43
1782574661295,167,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-71,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,167,0,43
1782574661354,111,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-14,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,111,0,45
1782574661358,107,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-97,text,false,,1078,190,100,100,https://api.clickup.com/api/v2/user,107,0,43
1782574661301,166,HTTP Request,429,Too Many Requests,jp@gc - Ultimate Thread Group 2-106,text,false,,1079,190,100,100,https://api.clickup.com/api/v2/user,166,0,47
